State,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Preliminary Total Turnout Estimate,Status,Source,Preliminary Turnout Rate,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
South Carolina,"1,718,626",Official,https://www.enr-scvotes.org/SC/115412/Web02-state.307150/#/?undefined,43.40%,"3,962,074","4,136,710",3.30%,"15,787","18,208","4,638","4,638",,SC
South Dakota,"354,670",,https://electionresults.sd.gov/default.aspx,54.20%,"653,834","681,018",2.20%,"3,176","5,210","3,673","3,673",,SD
Tennessee,"1,650,000",,https://www.elections.tn.gov/results.php,31.60%,"5,220,720","5,487,953",3.50%,"22,205","41,780","12,407","12,407",,TN
Texas,"8,100,000",,https://results.texas-election.com/races,42.50%,"19,063,483","22,250,703",12.20%,"128,653","230,704","110,437","110,437",,TX
Utah,"1,085,000",,https://electionresults.utah.gov/elections/,46.90%,"2,311,327","2,461,858",5.90%,"5,249",0,0,0,,UT
Vermont,"290,000",,,55.50%,"522,482","532,980",2.00%,0,0,0,0,,VT
Virginia,"2,750,000",,https://results.elections.virginia.gov/vaelections/2022%20November%20General/Site/Statistics/Index.html,43.70%,"6,287,048","6,770,668",6.00%,"30,620","44,353","2,017","2,017",,VA
Washington,"3,060,000",,https://results.vote.wa.gov/results/20221108/,55.80%,"5,486,653","6,102,976",8.80%,"15,056","49,805","14,536","14,536",,WA
West Virginia,"494,753",,https://results.enr.clarityelections.com/WV/115844/web.307039/#/summary,35.70%,"1,387,568","1,414,324",0.90%,"6,031","4,308","3,682","3,682",,WV
Wisconsin,"2,660,000",,,60.20%,"4,420,079","4,630,594",3.00%,"19,846","26,486","23,174","23,174",,WI
Wyoming,"198,198",Official,https://sos.wyo.gov/Elections/Docs/2022/2022GeneralResults.aspx,45.70%,"433,687","451,757",2.50%,"2,034","3,745",954,954,,WY
* Oklahoma uses total votes for Governor,,,,,,,,,,,,,
